 ,Area,Mean,Min,Max,X,Y,Ch,Counter,Count
158,0,84,84,84,291.333,134.000,1,1,85
159,0,94,94,94,293.000,153.667,1,1,85
160,0,162,162,162,216.333,133.333,1,1,85
161,0,54,54,54,177.667,176.333,1,0,133
162,0,56,56,56,228.000,110.000,1,1,85
163,0,78,78,78,255.667,102.333,1,1,85
164,0,72,72,72,278.333,89.333,1,1,85
165,0,100,100,100,174.333,126.000,1,1,85
166,0,34,34,34,163.333,127.333,1,0,133
167,0,70,70,70,153.000,99.667,1,1,85
168,0,82,82,82,166.667,82.333,1,1,85
169,0,162,162,162,246.667,80.333,1,1,85
170,0,120,120,120,195.000,99.000,1,1,85
171,0,72,72,72,212.333,92.000,1,1,85
172,0,54,54,54,236.000,65.667,1,1,85
173,0,104,104,104,216.667,48.333,1,1,85
174,0,242,242,242,215.000,33.333,1,1,85
175,0,214,214,214,190.000,11.000,1,1,85
176,0,98,98,98,167.667,19.333,1,1,85
177,0,154,154,154,139.667,25.333,1,1,85
178,0,220,220,220,102.000,9.667,1,1,85
179,0,240,240,240,133.667,52.333,1,1,85
180,0,180,180,180,91.333,34.667,1,1,85
181,0,128,128,128,60.000,22.667,1,1,85
182,0,72,72,72,69.667,3.667,1,1,85
183,0,34,34,34,225.000,15.667,1,0,133
184,0,104,104,104,71.000,43.667,1,1,85
185,0,28,28,28,79.000,46.333,1,0,133
186,0,54,54,54,278.000,114.333,1,1,85
187,0,128,128,128,196.667,156.667,1,1,85
188,0,130,130,130,186.000,215.333,1,1,85
189,0,96,96,96,195.000,222.333,1,1,85
190,0,36,36,36,153.000,120.000,1,2,71
191,0,58,58,58,131.333,98.000,1,2,71
192,0,38,38,38,150.333,40.000,1,2,71
193,0,30,30,30,154.500,13.500,1,2,71
194,0,40,40,40,148.500,11.000,1,2,71
195,0,44,44,44,155.500,6.000,1,2,71
196,0,34,34,34,174.000,7.500,1,2,71
197,0,50,50,50,125.250,29.000,1,2,71
198,0,48,48,48,133.000,38.750,1,2,71
199,0,32,32,32,165.000,60.750,1,0,133
200,0,40,40,40,157.750,58.500,1,0,133
201,0,96,96,96,163.500,49.750,1,3,100
202,0,42,42,42,206.750,170.000,1,2,71
203,0,80,80,80,197.500,166.750,1,2,71
204,0,56,56,56,202.500,180.750,1,3,100
205,0,36,36,36,204.500,156.500,1,2,71
206,0,48,48,48,212.000,159.000,1,2,71
207,0,34,34,34,111.500,63.500,1,2,71
208,0,40,40,40,105.250,56.500,1,2,71
209,0,54,54,54,102.500,71.750,1,2,71
210,0,40,40,40,98.000,73.500,1,2,71
211,0,42,42,42,96.250,78.750,1,1,85
212,0,30,30,30,107.250,82.750,1,2,71
213,0,36,36,36,111.500,74.500,1,2,71
214,0,24,24,24,102.000,78.500,1,2,71
215,0,42,42,42,169.500,42.750,1,2,71
216,0,44,44,44,232.750,132.750,1,3,100
217,0,44,44,44,143.750,174.750,1,2,71
218,0,36,36,36,141.000,170.000,1,2,71
219,0,36,36,36,140.500,176.000,1,2,71
